في	in/ within	fī
من	having partitive effect: of/ some of/ parts of/ one of	min
على	on/ over	ʕalā
و	The twenty-seventh letter of the Arabic alphabet/ written in the…	/waːw/
أن	introduces a verb clause in place of the definite verbal noun	ʔan
عن	off/ away from	ʕan
إلى	to/ towards	ʔilā
منتدى	place whither the people are called together/ gathering place/…	muntadan
التي	feminine singular of اَلَّذِي (allaḏī/ “who/ that/ which”)	allatī
قسم	to divide	qasama
مع	with/ together with/ accompanied by/ in the company of	maʕa
لا	no	lā
ما	what?	mā
أو	indicates an inclusive disjunction	ʔaw
ان	Suffix used in forming intensive adjectives of the pattern…	-ān
هذا	this	hāḏā
الى
الله	God	allāh
الذي	who/ that/ which	allaḏī
هذه	feminine singular of هٰذَا (hāḏā)	hāḏihī
فى
بعد	to be distant/ afar/ to become distant/ go away (مِنْ (min) or…	baʕuda
كل	each one/ everyone	kull
العين	eye (organ)	ʕayn
بين	between (“in the position or interval that separates two things”)	bayna
كان	to be	kāna
هو	he (subject pronoun)	huwa
لم	not (negating past tense)	lam
ذلك	that (demonstrative pronoun)	ḏālika
خلال	during/ in the course of	ḵilāla
العام	year	ʕām
اليوم	today	al-yawma
بن	alternative form of اِبْن (ibn)	bn
كما	like/ as	kamā
محمد	the Islamic prophet Muhammad	muḥammad
العربية	definite singular of عَرَبِيَّة (ʕarabiyya)	al-ʕarabiyya
قبل	to accept	qabila
عليه	third-person singular masculine of عَلَى (ʕalā)	ʕalayhi
إن	if (possible/ not contrary to fact)	ʔin
عملية	work	ʕamaliyya
المنتدى	place whither the people are called together/ gathering place/…	muntadan
حيث	where (relative)	ḥayṯu
قد	to cut into strips	qadda
غير	other than/ different from/ unlike	ḡayr
رئيس	boss/ chief/ leader	raʔīs
ولا	For non-idiomatic uses/ see وَ (wa) and لَا (lā).	wa-lā
حتى	until/ as far as/ to the point of/ even up to	ḥattā
علي	to be exalted/ high	ʕaliya
آخر	last/ ultimate/ utmost/ extreme	ʔāḵir
أي	which ...? what ...? what kind of ...? (followed by a noun in the…	ʔayy
قال	to say	qāla
النظر	to look/ to gaze/ to glance	naẓara
كانت		kānat
له	third-person singular masculine of لِـ (li-)	lahu
مطار	airport/ airfield	maṭār
عام	year	ʕām
عند	near/ with/ at the house of	ʕinda
مجلس	seat	majlis
حول	verbal noun of حَالَ (ḥāla) (form I)	ḥawl
هي	she (subject pronoun).	hiya
العالم	world	ʕālam
وهو	he (subject pronoun)	huwa
شركة	verbal noun of شَرِكَ (šarika) (form I)	šarika or širka
العامة	the major or most general part (of)/ the majority or generality…	ʕāmma
عبد	a person who is under the ownership of another/ a slave/ a bondservant	ʕabd
يوم	day/ period from sunrise to sunset	yawm
أنه		form IV
وفي	loyal/ faithful/ reliable	wafiyy
بعض	some/ part	baʕḍ
تم	to be fulfilled/ to be completed	tamma
ومن	having partitive effect: of/ some of/ parts of/ one of	min
ثم	then/ afterward/ subsequently/ used to indicate order of time/…	ṯumma
وقال	to say	qāla
فيها
مصر	Egypt (a country in North Africa and West Asia)	miṣr
الخاصة	See خَاصَّة (ḵāṣṣa)	al-ḵāṣṣa
بها	behold/ look/ lo!	hā
جميع	whole/ entire/ all	jamīʕ
إذا	when/ when it is that/ as soon as/ if	ʔiḏā
وقد	to ignite/ to burn	waqada
به
عدد	number	ʕadad
او
يكون		form I
المتحدة
الرئيس	boss/ chief/ leader	raʔīs
فيه
إلا	except (for)/ save (for)/ but (for)/ barring/ other than/ besides/…	ʔillā
صور	to form/ to create	ṣawwara
يمكن		form IV
العمل	to work/ perform	ʕamila
منذ	denotes the time at which an occurrence started	munḏu
أكثر	elative degree of كَثِير (kaṯīr)	ʔakṯar
لها	to divert oneself/ to fool around/ to putz around	lahā
هناك	there	hunāka
برامج	plural of بَرْنَامَج (barnāmaj)	barāmij
الذين	animate masculine plural of اَلَّذِي (allaḏī/ “who/ that/ which”)	allaḏīna
منتديات
فقط	only/ no more	faqaṭ
الأول	first	ʔawwal
السعودية	Saudi Arabia (a country in West Asia in the Middle East)/ ellipsis…	as-suʕūdiyya or as-saʕūdiyya
موقع	site/ position/ emplacement/ place/ spot/ scene/ locus/ locale/…	mawqiʕ
مثل	to resemble/ to look like	maṯala
الليزك
الحكومة	verbal noun of حَكَمَ (ḥakama) (form I)	ḥukūma
بشكل	to hobble (an animal)	šakala
عبر	to cross/ to traverse	ʕabara
دون	low/ base/ inferior	dūn
لبنان	Lebanon (a country in West Asia in the Middle East)	lubnān
عليها	first-person singular feminine of عَلَى (ʕalā)	ʕalayhā
للعيون	plural of عَيْن (ʕayn): eyes	ʕuyūn
مجاني	free of charge/ gratis	majjāniyy
الشيخ	old man	šayḵ
المياه	plural of مَاء (māʔ)	miyāh
لكن	but/ however	lākinna
الماء	water	māʔ
الثاني		ṯānī
ولكن	but/ however	wa-lākin or wa-lākinna
منها
تكون	to be established/ to be created/ to be formed/ come into…	takawwana
أيضا	also	ʔayḍan
وهي	alternative form of وَهَى (wahā)	wahiya
وذلك	that (demonstrative pronoun)	ḏālika
يتم	to be or become an orphan	yatima
العربي	Arab	ʕarabiyy
الولايات
عالم	world	ʕālam
تلك	feminine singular of ذٰلِكَ (ḏālika/ “that”)	tilka
مدينة	town/ city	madīna
بل	but/ rather	bal
اللغة	language	luḡa
وزير	minister/ cabinet minister	wazīr
ضعف	to weaken	ḍaʕufa
الموقع	site/ position/ emplacement/ place/ spot/ scene/ locus/ locale/…	mawqiʕ
السنة	the Sunna (Muhammad's way of life/ as recorded in the hadiths)	as-sunna
الدولة	state (sovereign polity)	dawla
وكان	to be	kāna
أخرى	feminine singular of آخَر (ʔāḵar)	ʔuḵrā
الاطفال
الآن	now	al-ʔāna
رقم	numeral/ number/ figure	raqm
أحد	one	ʔaḥad
م	The twenty-fourth letter of the Arabic alphabet/ written in the…	/miːm/
جديدة
ب	The second letter of the Arabic alphabet/ called بَاء (bāʔ) and…	/baːʔ/
التى
وزارة	the office/ responsibility/ or burden of ministry	wizāra or wazāra
الأولى	to entrust to	ʔawlā
ليس	not to be	laysa
المنتديات
بأن	introduces a verb clause in place of the definite verbal noun	ʔan
ابن	son	ibn
السلام	verbal noun of سَلِمَ (salima) (form I)/ well-being	salām
دولار	dollar	dōlār or dūlār
محتوى	content	muḥtawan
انه
سنة	year	sana
فيما	while	fīmā
خاصة	private possession	ḵāṣṣa
القسم	to divide	qasama
والتي	feminine singular of اَلَّذِي (allaḏī/ “who/ that/ which”)	allatī
الشبكية	retina of the eye	šabakiyya
منطقة	zone	minṭaqa
الدكتور	doctor	duktūr
الوقت	verbal noun of وَقَتَ (waqata) (form I)	waqt
مركز	place where the flag is planted in the ground	markaz or markiz
عندما	when/ while	ʕindamā
تحت	below	taḥtu
المنطقة	zone	minṭaqa
يجب		form I
فإن	if (possible/ not contrary to fact)	ʔin
الوطني	national	waṭaniyy
هنا	here/ in this place	hunā
برنامج	agenda	barnāmaj
بنا		binnā
الماضي	inflection of مَاضٍ (māḍin)	al-māḍī
كتب	to mark (symbols/ shapes/ graphs/ glyphs/ letters/ and the like)…	kataba
البيضاء	feminine singular of أَبْيَض (ʔabyaḍ)	bayḍāʔ
الناس	people/ humans	nās
ال	the	al-
الصور	to form/ to create	ṣawwara
بما	with what/ with which	bi-mā
أحمد	to show oneself praiseworthy	ʔaḥmada
