you	The pronoun of the second person/ in the nominative/ dative/ and…	/jˈu/
i	1. I/ the ninth letter of the English alphabet/ takes its form…	/ˈaɪ/
the	See Thee. [Obs.] Chaucer. Milton.	/ðə/
to	1. The preposition to primarily indicates approach and arrival/…	/tˈu/
a	The first letter of the English and of many other alphabets. The…	/ə/
it	The neuter pronoun of the third person/ corresponding to the…	/ˈɪt/
and	1. A particle which expresses the relation of connection or…	/ənd/
that	1. As a demonstrative pronoun (pl. Those)/ that usually points…	/ðˈæt/
of	In a general sense/ from/ or out from/ proceeding from/ belonging…	/ˈʌv/
is	The third person singular of the substantive verb be/ in the…	/ˈɪz/
in	The specific signification of in is situation or place with…	/ɪn/
what	1. As an interrogative pronoun/ used in asking questions regarding…	/wˈʌt/
we	The plural nominative case of the pronoun of the first person/ the…	/wˈi/
me	One. See Men/ pron. [Obs.] Chaucer.	/mˈi/
this	1. As a demonstrative pronoun/ this denotes something that is…	/ðˈɪs/
he	1. The man or male being (or object personified to which the…	/hˈi/
for	In the most general sense/ indicating that in consideration of/ in…	/fˈɔr/
my	Of or belonging to me/ -- used always attributively/ as/ my body/…	/mˈaɪ/
on	The general signification of on is situation/ motion/ or condition…	/ˈɑn/
have	1. To hold in possession or control/ to own/ as/ he has a farm. 2.…	/hˈæv/
your	The form of the possessive case of the personal pronoun you. Note:…	/jˈɔr/
do	A syllable attached to the first tone of the major diatonic scale…	/dˈu/
was	The first and third persons singular of the verb be/ in the…	/wˈɑz/
no	Not any/ not one/ none. Let there be no strife ... between me and…	/nˈoʊ/
not	Wot not/ know not/ knows not. [Obs.] Chaucer.	/nˈɑt/
be	1. To exist actually/ or in the world of fact/ to have ex To be…	/bˈi/
are	The present indicative plural of the substantive verb to be/ but…	/ˈɑr/
don	1. Sir/ Mr/ Signior/ -- a title in Spain/ formerly given to…	/dˈɑn/
know	Knee. [Obs.] Chaucer.	/nˈoʊ/
can	an obs. form of began/ imp. & p. p. of Begin/ sometimes used in…	/kˈæn/
with	See Withe.	/wˈɪð/
but	1. Except with/ unless with/ without. [Obs.] So insolent that he…	/bˈʌt/
all	1. The whole quantity/ extent/ duration/ amount/ quality/ or…	/ˈɔl/
so	1. In that manner or degree/ as/ indicated (in any way)/ or as…	/sˈoʊ/
just	1. Conforming or conformable to rectitude or justice/ not doing…	/dʒˈʌst/
there	1. In or at that place. "[They] there left me and my man/ both…	/ðˈɛr/
here	Of them/ their. [Obs.] Piers Plowman. On here bare knees adown…	/hˈir/
they	The plural of he/ she/ or it. They is never used adjectively/ but…	/ðˈeɪ/
like	1. Having the same/ or nearly the same/ appearance/ qualities/ or…	/lˈaɪk/
get	Jet/ the mineral. [Obs.] Chaucer.	/ɡˈɛt/
she	1. This or that female/ the woman understood or referred to/ the…	/ʃˈi/
go	Gone. Chaucer.	/ɡˈoʊ/
if	1. In case that/ granting/ allowing/ or supposing that/ --…	/ˈɪf/
right	1. Straight/ direct/ not crooked/ as/ a right line. "Right as any…	/rˈaɪt/
out	In its original and strict sense/ out means from the interior of…	/ˈaʊt/
about	1. Around/ all round/ on every side of. "Look about you." Shak.…	/əbˈaʊt/
up	1. Aloft/ on high/ in a direction contrary to that of gravity/…	/ˈʌp/
at	Primarily/ this word expresses the relations of presence/ nearness…	/ˈæt/
him	Them. See Hem. [Obs.] Chaucer.	/hˈɪm/
now	1. At the present time/ at this moment/ at the time of speaking/…	/nˈaʊ/
oh	An exclamation expressing various emotions/ according to the tone…	/ˈoʊ/
one	1. Being a single unit/ or entire being or thing/ and no more/ not…	/wˈʌn/
come	1. To move hitherward/ to draw near/ to approach the speaker/ or…	/kˈʌm/
well	1. An issue of water from the earth/ a spring/ a fountain. Begin/…	/wˈɛl/
her	The form of the objective and the possessive case of the personal…	/hˈɝ/
how	1. In what manner or way/ by what means or process. How can a man…	/hˈaʊ/
yeah		/jˈæ/
will	1. The power of choosing/ the faculty or endowment of the soul by…	/wˈɪl/
got	imp. & p. p. of Get. See Get.	/ɡˈɑt/
want	1. The state of not having/ the condition of being without…	/wˈɑnt/
think	1. To seem or appear/ -- used chiefly in the expressions…	/θˈɪŋk/
as	1. Denoting equality or likeness in kind/ degree/ or manner/ like/…	/ˈæz/
see	1. A seat/ a site/ a place where sovereign power is exercised.…	/sˈi/
did	of Do.	/dˈɪd/
