de	The name of the Latin script letter D/d.	/de/
que	that	/ke/
no	abbreviation of noroeste/ northwest	/ˈno/
a	The first letter of the Spanish alphabet/ written in the Latin script.	/ˈa/
la	masculine singular definite article/ the	/el/
el	masculine singular definite article/ the	/el/
y	The twenty-sixth letter of the Spanish alphabet/ called ye or i…	/ʝ/
es	The name of the Latin script letter E/e.	/e/
en	in/ at/ on	/en/
lo	masculine singular definite article/ the	/el/
un	an/ a	/un/
por	by	/poɾ/
qué	what/ which	/ˈke/
me	accusative of yo: me	/me/
una	an/ a	/un/
los	masculine singular definite article/ the	/el/
se	abbreviation of sudeste/ southeast	/se/
te	The name of the Latin script letter T/t.	/te/
con	with	/kon/
para	for/ to (expressing a recipient)	/paɾa/
está	to be (have a temporary or permanent location in space)	/esˈtaɾ/
mi	apocopic form of mío/ my	/mi/
pero	but	/ˈpeɾo/
sí	yes/ yeah/ (used to respond affirmatively to a question/ used both…	/ˈsi/
si	abbreviation of Sinaloa: a state of Mexico	/si/
bien	well (adverbial form of bueno)	/ˈbjen/
eso	alternative spelling of ése	/ˈese/
su	apocopic form of suyo his/ her/ its/ one's/ their/ your (formal)	/su/
las	masculine singular definite article/ the	/el/
yo	first-person singular pronoun in the nominative case/ I	/ˈʝo/
del	of the/ from the (+ a masculine noun in singular).	/del/
como	Como (a city and comune/ the capital of the province of Como/…	/koˈmeɾ/
aquí	here (in the speaker's location)	/aˈki/
tu	apocopic form of tuyo/ your	/tu/
al	initialism of América Latina	/al/
más	more/ -er (used to make comparisons)	/ˈmas/
le	to him/ for him/ dative of él	/le/
esto	alternative spelling of éste	/ˈeste/
todo	all/ every	/ˈtodo/
ya	now (often as opposed to before)/ anymore/ no longer	/ˈʝa/
estoy	to be (have a temporary or permanent location in space)	/esˈtaɾ/
ahora	now (at the present time)	/aˈoɾa/
muy	apocopic form of mucho/ very	/ˈmwi/
ha	alternative form of hacer	/ˈeɾ/
esta	alternative spelling of ése	/ˈese/
así	to grab/ to seize	/aˈsiɾ/
vamos	to go (away from speaker and listener)	/ˈiɾ/
algo	something/ anything	/ˈalɡo/
hay	third-person singular present indicative of haber	/ˈai/
bueno	good	/ˈbweno/
tengo	to have/ to possess	/teˈneɾ/
él	he/ him/ masculine personal third person subject and disjunctive…	/ˈel/
cuando	when	/ˈkwando/
estás	to be (have a temporary or permanent location in space)	/esˈtaɾ/
sé	to be (essentially or identified as)	/ˈseɾ/
