de	of (expresses belonging)
je	I
est	to be
pas	step/ pace/ footstep
le	he (third-person singular masculine subject pronoun for human subject)
que	that (introduces a subordinate noun clause and connects it to its…
la	feminine of le: the
vous	you (singular)
tu	you (singular)
un	an/ a
à	A with grave accent/ a letter used in French mostly to distinguish…
et	and
il	he (third-person singular masculine subject pronoun for human subject)
a	The first letter of the French alphabet/ written in the Latin script.
ne	abbreviation of nord-est/ NE
les	plural of le: the
en	in (used to indicate space/ also see usage notes)
on	one/ people/ you/ someone (an unspecified individual)
ça	that (distal demonstrative pronoun)
une	an/ a
ce	EC (European Community)
pour	for (meant for/ intended for)
ai	first-person singular present indicative of avoir
des	Forms the partitive article.
qui	who/ whom
mais	May (month)
dans	in/ inside (enclosed in a physical space/ a group/ a state)
nous	I
elle	she
me	me (direct object)
bien	good/ all right/ great
si	initialism of Système international: SI
du	contraction of de + le/ literally “of the”
y	a letter in the French alphabet/ after x and before z
suis	to be
non	no
avec	with
tout	all
plus	past participle of pleuvoir
mon	I
te	you
au	contraction of à + le/ literally “to the/ for the/ at the”
fait	to do
moi	I
oui	yes
va	"version anglaise" — English-language version (EV)/ a film dubbed…
était	to be
as	ace (card of value 1)
faire	to do
ils	he (third-person singular masculine subject pronoun for human subject)
sur	on/ upon
quoi	what
se	abbreviation of sud-est/ SE
comme	as (in the role of/ by way of)
sais	to know (something)
être	to be
veux	to want/ wish/ desire
ici	here
ma	abbreviation of meilleur avant (“best before”): BB
toi	you (singular)
est-ce
dit	to say/ to tell (to express through speech)
lui	him/ he/ it/ the third-person masculine singular personal pronoun…
votre	the plural personal pronoun in the second person
es	to be
pourquoi	why
où	where (interrogative)
là	referring to physical place
rien	nothing
cette	this/ that
sont	to be
quand	when (at what time)
peux	can/ to be able to
dire	to say/ to tell (to express through speech)
son	sound
avez	to have/ to own/ to possess/ to get
vais	to go
alors	then (at that time)
ton	you (singular)
comment	how
par	through
ou	or
chose	thing
bon	good
ont	to have/ to own/ to possess/ to get
merci	thank you
juste	fair/ just
très	very
jamais	never
été	summer
aussi	too/ also/ as well
avoir	to have/ to own/ to possess/ to get
vraiment	truly/ really/ genuinely
voir	to see (visually)
même	even
sa	his/ her/ their/ its (used to qualify masculine nouns and before a…
oh	oh
maintenant	now/ currently
tous	all
peut	third-person singular past historic of pouvoir
deux	two
ces	this/ that
êtes	to be
allez	to go
ta	your
autre	other
peu	little/ not very much/many
temps	time (in general)
quelque	some (singular)
fais	to do
toujours	always
encore	still
notre	the plural personal pronoun in the first person:
mes	my
besoin	need
avait	to have/ to own/ to possess/ to get
accord	chord
faut	third-person singular present indicative of falloir
dois	first/second-person singular present indicative of devoir
vie	life/ the state of organisms (organic beings) prior to death
peut-être	maybe/ perhaps
aller	to go
fois	Faith.
vu	to see (visually)
donc	therefore/ consequently/ thus
sans	without (not having)
monde	world
étais	to be
parce	only used in parce que
avant	beforehand/ earlier
sûr	sure/ certain
trop	too/ too much
parler	to speak/ talk
personne	person
avais	to have/ to own/ to possess/ to get
père	father (parent)
crois	inflection of croire:
après	after/ later than in time.
aux	Contraction of à + les ('to the' or 'of the')
dieu	a god/ male divinity
ouais	synonym of oui/ yeah/ yep/ yup/ yes/ affirmative expression
ses	his/ her/ their/ its (used to qualify masculine nouns and before a…
pense	to think/ reflect/ concentrate one's mind on something
eu	initialism of États-Unis (= United States): a country in North…
aime	to love (usually of a person/ otherwise the meaning is closer to…
leur	they (male or mixed group)
homme	man (adult male human)
viens	to come (to move from one place to another that is nearer the speaker)
vrai	true
femme	woman
ok	OK (endorsement/ approval)
doit	must/ to have to/ should (as a requirement)
veut	to want/ wish/ desire
ans	year
mal	trouble/ difficulty
chez	to/ at/ in or into the home/ office/ etc. of
déjà	already/ before
depuis	since
beaucoup	much/ very much/ a lot
vos	plural of votre/ your (plural or formal you)
bonne	feminine singular of bon
mort	to die/ to be dying
mieux	well
vas	to go
mère	mother
sera	to be
dis	inflection of dire:
fille	girl
tes	your
gens	people/ nation
quel	which
vois	to see (visually)
désolé	desolate/ forsaken
ca	initialism of conseil d'administration
voilà	there (it) is/ there (it) comes
avons	to have/ to own/ to possess/ to get
petit	small
maison	house
soit	to be
cela	that
autres	other
toute	all
soir	evening
passé	to go past
prendre	to take
jour	day
