e	The fifth letter of the Italian alphabet/ called e and written in…	/ˈe/
non	not	/non/
che	what/ which	/ˈke/
di	used to indicate possession/ after the thing owned and before the…	/di/
la	the	/la/
il	the	/i/
un	apocopic form of uno: a/ an	/un/
a	The first letter of the Italian alphabet/ called a and written in…	/ˈa/
per	for	/per/
è	Used as a copula. to be	/ˈɛs.se.re/
in	in	/in/
una	one	/ˈu.no/
mi	clitic accusative of io. me	/mi/
sono	first-person singular present indicative of essere: (I) am/ I'm	/ˈso.no/
ho	first-person singular present indicative of avere and (obsolete)…	/ˈɔ/
si	oneself/ himself/ herself/ itself/ themselves	/si/
ha	third-person singular present indicative of avere and (obsolete)…	/ˈa/
ma	but/ however	/ma/
lo	the (masculine plural definite article)/ sometimes untranslated/…	/li/
cosa	thing/ matter	/ˈkɔ.za/
con	how	/ˈko.me/
no	abbreviation of Novara: a city in the Piedmont region/ Italy	/ˈnɔ/
le	the	/i/
ti	The name of the Latin script letter T/t./ tee	/ˈti/
se	abbreviation of sudest/ southeast	/si/
da	from (all senses)	/da/
i	the	/i/
come	how	/ˈko.me/
io	I (the first-person singular nominative pronoun)	/ˈi.o/
ci	The name of the Latin script letter C/c./ cee	/ˈt͡ʃi/
hai	contraction of a i/ to the/ at the	/ˈaj/
questo	this/ these	/ˈkwes.to/
bene	upper-class/ posh/ high	/ˈbɛ.ne/
qui	here	/ˈkwi/
sei	six	/ˈsɛj/
del	contraction of di + il/ some/ of the/ from the
tu	you (singular)/ thou	/ˈtu/
solo	alone/ by oneself/ unattended/ unaccompanied/ lonely/ lone/ lonesome	/ˈso.lo/
mio	I (the first-person singular nominative pronoun)	/ˈi.o/
al	contraction of a + il/ literally “to the/ at the”	/al/
me	me	/ˈme/
tutto	all	/ˈtut.to/
te	you/ thee	/te/
era	age/ epoch/ period	/ˈɛ.ra/
della	contraction of di la/ of the/ from the
mia	feminine singular of mio	/ˈmi.o/
fatto	done/ made	/ˈfat.to/
fare	to do	/ˈfa.re/
essere	Used as a copula. to be	/ˈɛs.se.re/
so	first-person singular present indicative of sapere (“to know”)	/ˈsɔ/
quando	when	/ˈkwan.do/
sì	Used as a copula. to be	/ˈɛs.se.re/
ora	hour (a unit of time of one twenty-fourth of a day (sixty minutes))	/ˈo.ra/
lei	he	/ˈluj/
gli	the	/i/
ne	in	/in/
oh	oh	/ˈo/
questa	this/ these	/ˈkwes.to/
detto	past participle of dire	/ˈdet.to/
ok	OK	/oˈkɛ.i/
va	third-person singular present indicative of andare	/ˈva/
perche	because/ why	/perˈke/
quello	that/ those	/ˈkwel.lo/
mai	never	/ˈma.i/
alla	with (an ingredient)	/al/
o	The thirteenth letter of the Italian alphabet/ called o and…	/ˈɔ/
anche	hip	/ˈan.ka/
stato	state (physical property of matter as solid/ liquid/ gas or plasma)	/ˈsta.to/
abbiamo	inflection of avere:	/abˈbja.mo/
tutti	all	/ˈtut.to/
dei	god/ deity	/ˈdi.o/
grazie	thank you/ thanks!	/ˈɡrat.t͡sje/
chi	who/ whom/ whoever	/ki/
sta	third-person singular present indicative of stare	/ˈsta/
molto	much/ very much/ a lot (with verbs)	/ˈmol.to/
più	comparative degree of molto/ more	/ˈpju/
voglio	first-person singular present indicative of volere	/ˈvɔʎ.ʎo/
perché	because/ why	/perˈke/
tuo	your (informal)	/ˈtu.o/
beh	well (used at the start of a sentence)	/ˈbɛ/
sia	inflection of essere:	/ˈsi.a/
nel	contraction of in il/ in the
lui	he	/ˈluj/
allora	then (at that time)	/alˈlo.ra/
posso	first-person singular present indicative of potere	/ˈpɔs.so/
piu
ehi	hey! (used to attract someone's attention)	/ˈej/
prima	first	/ˈpri.mo/
tua	your (informal)	/ˈtu.o/
suo	his/ her/ its	/ˈsu.o/
niente	nothing	/ˈnjɛn.te/
qualcosa	something	/kwalˈkɔ.za/
sai	second-person singular present indicative of sapere	/ˈsaj/
siamo	inflection of essere:	/ˈsja.mo/
cosi	plural of coso	/ˈkɔ.zo/
davvero	really/ in fact	/davˈve.ro/
ancora	still	/anˈko.ra/
hanno	third-person plural present indicative of avere and (obsolete) havere	/ˈan.no/
stai	plural of staio	/ˈstaj/
fa	third-person singular present indicative of fare	/ˈfa/
sua	his/ her/ its	/ˈsu.o/
così	so	/koˈzi/
casa	house	/ˈka.sa/
uno	one	/ˈu.no/
dove	where	/ˈdo.ve/
su	up/ upstairs	/ˈsu/
vero	true	/ˈve.ro/
vuoi	second-person singular present indicative of volere	/ˈvwɔ.i/
noi	we/ us	/ˈnoj/
due	two	/ˈdu.e/
quindi	therefore/ hence/ thus	/ˈkwin.di/
dire	to utter (produce (speech or other sounds) with one's voice)	/ˈdi.re/
delle	contraction of di le/ of the/ from the
quella	that one/ those ones/ those	/ˈkwel.lo/
sempre	always	/ˈsɛm.pre/
altro	other/ another/ more/ further/ else	/ˈal.tro/
sto	first-person singular present indicative of stare	/ˈstɔ/
andare	to go	/anˈda.re/
ad	initialism of amministratore delegato (“CEO”)	/a.d‿/
po	Po (a river in Italy)	/ˈpɔ/
loro	he	/ˈluj/
devo	first-person singular present indicative of dovere	/ˈdɛ.vo/
quel	apocopic form of quello/ used before a consonant (except impure s/…	/ˈkwel/
forse	maybe/ perhaps/ possibly/ may/ might	/ˈfor.se/
li	them (masculine)	/li/
proprio	one's/ one's own/ her (own)/ its (own)/ their (own)	/ˈprɔ.prjo/
certo	certain/ sure	/ˈt͡ʃɛr.to/
tempo	time	/ˈtɛm.po/
nella	contraction of in la/ in the
poi	then	/ˈpɔj/
vi	second-person personal plural object pronoun: you/ to you	/ˈvi/
credo	creed	/ˈkre.do/
vita	life	/ˈvi.ta/
cose	thing/ matter	/ˈkɔ.za/
sul	contraction of su + il: on the
quanto	how much/ how many/ however much/ however many	/ˈkwan.to/
puoi	second-person singular present indicative of potere	/ˈpwɔ.i/
fuori	outside	/ˈfwɔ.ri/
anni	year (all senses)	/ˈan.no/
cui	prepositional of che: whom/ which	/ku.i/
andiamo	inflection of andare:	/anˈdja.mo/
parte	Parthian	/ˈpar.to/
visto	past participle of vedere	/ˈvis.to/
qualcuno	someone/ somebody	/kwalˈku.no/
lavoro	work (all senses)	/laˈvo.ro/
voi	you (second person plural)	/ˈvo.i/
ciao	hello!	/ˈt͡ʃa.o/
dio	god/ deity	/ˈdi.o/
volta	time/ instance/ occasion	/ˈvɔl.ta/
dopo	after/ later	/ˈdo.po/
adesso	now	/aˈdɛs.so/
stata	past participle of essere	/ˈsta.to/
uomo	person/ man (human being)	/ˈwɔ.mo/
padre	father	/ˈpa.dre/
devi	second-person singular present indicative of dovere	/ˈdɛ.vi/
