何	what
あなた	貴方/ 貴女/ 貴男: you (second-person pronoun)
言	to say
行	to go
人	a person/ human
知	to know
事	thing
彼女	Female third-person singular pronoun/ she/ her
お前	you
話	talk/ conversation
来	to come (toward the speaker)
分か
者	person
聞	to hear
死	death
時	time
ああ	in that other way
殺	to kill
前	before/ previous
中	the middle/ medium
達	plural marker
必要	needed/ necessary
あの	that ... over there (far from the speaker and the addressee)
気	breath
大丈夫	a man of class/ a great man
自分	oneself
持	hold/ have
本当	true/ proper/ real
時間	time
一	one (number)
的	an enemy
無	nothing
ありがとう	an expression of thankfulness: thank you
家	a house
会	meeting/ gathering
日	short for 日曜日 (nichiyōbi): Sunday
年	years
仕事	a job/ an occupation/ work
手	a hand
一緒	combined/ merged/ unified
後	behind/ the end
出来	to be able to do
他	another/ other/ some other/ the rest
入	to enter
電話	telephone
目	目/ 眼: prefixal bound form of め (me/ “eye”)
様	an instance/ an example/ a precedent
分	minutes (duration)
車	vehicle
所	places
あんた	alternative form of あなた (“you”) (second-person singular pronoun)
度	degrees
同じ	same/ identical
場所	place/ location
問題	question/ problem (on homework/ as a puzzle/ etc.)
子供	child
愛	love
金	gold (Au)
名前	a name (word or phrase indicating a particular person/ place/…
子	child
信	trust/ faith
さあ	sun/ solar
少し	a little/ slightly
使	messenger
全て	entirely/ completely/ all
世界	world
教え	to inform/ to teach/ to instruct
通り	street
来る	to come (toward the speaker)
上	above/ high/ up
入れ	to put (something) in
人間	human/ person/ human being
行け	to go/ to come to one's place
今日	today/ this day
物	thing (concrete/ tangible)
女	woman
呼	to call
生き	to live/ to exist
あれ	to exist/ to be/ to have
じゃあ	alternative form of じゃ
止め	to stop (to cause to cease moving)
心配	uneasy/ worrying
母	mother
連れ	to lead/ to take/ to conduct
関係	relationship/ relation
外	another/ other/ some other/ the rest
家族	a family/ a household
起き	to wake up
意味	a meaning/ a significance/ a point
神	a spirit or an essence present in all things/ the main subject of…
警察	police
力	power/ force/ strength
最後	last/ end/ conclusion
作	a work/ a production (particularly a cultural work/ such as a work…
次	next/ secondary
息子	a son (male child)
取	to take/ to fetch/ to take up
全部	the whole thing/ everything/ all
間	interval of time or space/ time/ during/ between/ leisure
書	writing/ something written
捜査	a criminal investigation
起こ
回	alternative form of 回
別	different/ separate/ another
情報	information
理由	a reason
数	number/ amount
一人	one person
部屋	room (of a house or hotel)/ chamber/ apartment/ flat
以上	the aforementioned/ the foregoing
人生	life
急	rapid/ quick
食べ	to eat
女性	a woman (adult female person)
続け	to continue
事件	event/ incident
始め	to begin/ to start/ to initiate
最初	firstly
連絡	connection/ junction
まあ	oh! dear! (expression of surprise)
調べ	to investigate/ to look up/ to look into/ to study/ to examine/ to…
安全	safe/ secure
下さ	pass judgement/ conclude/ rule
楽し	to take the path of least resistance/ to do what is easy
殺人	homicide/ especially murder
下	the underneath
万	ten thousand/ myriad
友達	plural of 友: friends
約束	a promise
二	two
結婚	marriage
無理	cannot/ impossible/ incapable
感じ	a feeling/ sensation
得	to acquire
最高	highest/ greatest
送	to send
計画	a plan/ planning/ schedule/ conception
仲間	companion
先	before/ previous
可能	possible
あいつ
あと
明日	tomorrow
変わ
聞こえ	sonority
確認	confirmation
命	life
着	to arrive
与え
全員	everybody/ all members
動	movement/ to move
理解	understanding/ comprehension
二人	two people
開け	to open
友人	friend
機	loom
不	not/ non-/ un-
あげ	上げる/ 挙げる: to raise/ to lift (to move (something) upwards)
離れ	to separate
戦	fight/ battle
先生	an elder
言え	to say/ to tell somebody
質問	a question
置	to put/ to place/ to establish (おく)
犯人	criminal
受け	to receive/ to get/ to be given/ to undergo/ to go through/ to…
感	feeling/ sensation/ emotion
第	order/ sequence
あぁ	oh!/ ah!
伝え	to convey/ to communicate
素晴らし	Classical Japanese form of 素晴らしい (subarashii/ “magnificent/ extreme”)
ドア	door (especially Western-style)
本	cause/ origin
乗	to ride (e.g. a vehicle or a horse)
用	use
感謝	thanks/ appreciation/ gratitude
