que	that (connecting noun clause)
a	The first letter of the Portuguese alphabet/ written in the Latin…
o	The fifteenth letter of the Portuguese alphabet/ called ó and…
não	not/ don't/ haven't (negates the meaning of the verb or adverb)
de	of (in relation to)
é	to be (to have the given quality)/ especially a quality that is…
e	The fifth letter of the Portuguese alphabet/ called ê or é and…
um	one
para	for (directed at/ intended to belong to or to be appropriate for)
eu	I (first-person singular personal pronoun)
uma	one
está	to be (indicates location in space)
com	with/ against
se	abbreviation of Sergipe: a state of Brazil
do	contraction of de + o/ literally “of the/ from the/ -'s (masculine…
por	for (on behalf of)
os	the (the definite grammatical article that shows that the noun…
ele	third-person masculine singular nominative personal pronoun/ he/ it
mas	contraction of me + o/ literally “him/it to me”
em	in/ inside/ within (contained by)
bem	well/ accurately/ competently
isso	that/ that one (near you)
da	contraction of de + o/ literally “of the/ from the/ -'s (masculine…
como	Como (a city and comune/ the capital of the province of Como/…
sim	yes (affirmative answer)
as	alternative form of á
no	abbreviation of noroeste
mais	used to form the comparative of adjectives and adverbs/ more/ -er
na	contraction of em + a/ literally “in the”: feminine singular of no
meu	my (belonging to/ associated with/ related to/ or in the…
aqui	here (in this place)
me	first-person singular objective direct personal pronoun/ me
muito	much/ many/ a lot of/ lots of
foi	to go (to move to a destination)
ela	third-person masculine singular nominative personal pronoun/ he/ it
isto	this one (indicates something or someone nearby)
estou	to be (indicates location in space)
fazer	to make
vamos	to go (to move to a destination)
já	already (indicating that something has happened before)
ser	to be (to have the given quality)/ especially a quality that is…
vai	to go (to move to a destination)
à	contraction of a (“to”) + o m sg (“the”)
minha	my (belonging to/ associated with/ related to/ or in the…
só	only/ just (alone in a category)
ao	contraction of a (“to”) + o m sg (“the”)
tem	to have
tudo	everything (all the things)
te	you (singular)
porque	because (introduces a reason for that described in the previous…
há	there be/ exist
tenho	to have
vou	to go (to move to a destination)
tu	you/ thou (singular second person pronoun)
sei	first-person singular present indicative of saber
quando	when (used in questions about time)
agora	now/ right now (at the present time)
estás	to be (indicates location in space)
você	second-person singular personal pronoun/ formal or informal in…
lá	there (in that place/ far from both the speaker and the audience)
então	then (at that time)
ter	to have
era	era (time period of indeterminate length/ generally more than one…
quem	who/ whom (which person?)
onde	where/ wherever (in or at what place/ in or at a/any/the place…
nada	nothing (not any thing/ no thing)
ou	or (connects at least two alternative words/ phrases/ clauses/…
coisa	thing (a physical object/ entity/ or situation)
dizer	to say
são	to be (to have the given quality)/ especially a quality that is…
quero	to want/ to wish/ to desire
estava	to be (indicates location in space)
sou	to be (to have the given quality)/ especially a quality that is…
seu	Third-person singular possessive determiner.
pode	to be able to/ can (to have the ability to)
mesmo	the same
esta	this (indicates something or someone nearby)
eles	third-person masculine singular nominative personal pronoun/ he/ it
nós	first-person plural nominative personal pronoun: we
sua	Third-person singular possessive determiner.
dos	contraction of de + o/ literally “of the/ from the/ -'s (masculine…
todos	every/ all (all of a group)
nos	first-person plural nominative personal pronoun: we
mim	first-person singular prepositional pronoun
posso	first-person singular present indicative of poder
bom	good
ver	to see/ to observe (to perceive with one’s eyes)
este	this (indicates something or someone nearby)
casa	house
temos	to have
tens	to have
tua	feminine singular of teu
nunca	never (at no time/ not ever)
estão	to be (indicates location in space)
até	until (up to the time of something happening)
assim	full of/ replete
teu	your (singular) (belonging to/ associated with/ related to/ or in…
acho	to find/ to encounter (to come across something that was unknown…
falar	to speak/ to talk (to say words out loud)
disse	to say
ainda	still/ yet (up to a time)
tempo	time (the progression from the present into the future)
também	too/ also (in addition/ as well)
ir	to go (to move to a destination)
pai	father (male who sires a child)
sobre	on/ atop/ on top of (located on the top surface of)
vez	time/ occasion
quê	what (which thing)
quer	to want/ to wish/ to desire
és	to be (to have the given quality)/ especially a quality that is…
favor	favor (instance of voluntarily assisting someone)
depois	later (afterwards in time)
tão	to be (indicates location in space)
melhor	good
mãe	mother (female who gives birth to or parents a child)
talvez	perhaps/ maybe (indicates possibility or doubt)
olá	hello/ hi (greeting)
obrigado	thanks/ thank you
noite	night (period between sunset and sunrise)
ti	prepositional of tu
sabes	to know
sempre	always (at all times)
deus	god/ deity
estamos	to be (indicates location in space)
alguém	somebody/ someone (some person)
dia	day
certo	right/ correct (not containing errors)
nem	not even (introduces an emphatic negation)
alguma	some/ any
vida	life
anos	year
dele	contraction of de + ele
sem	-less/ without (not having/ containing/ characteristic of/ etc.)
vais	to go (to move to a destination)
das	contraction of de + o/ literally “of the/ from the/ -'s (masculine…
tinha	to have
estar	to be (indicates location in space)
queres	to want/ to wish/ to desire
coisas	thing (a physical object/ entity/ or situation)
homem	male (human of masculine gender)
pessoas	person (an individual being/ especially a human)
algo	something (unspecified object)
pelo	contraction of por + o/ by the/ for the/ through the
ficar	to become/ to get/ to end up
boa	good
sabe	to know
parece	to seem
claro	light (pale in colour)
dois	two (cardinal number 2)
verdade	truth (conformity to fact or reality)
tipo	kind/ sort/ type (grouping based on shared characteristics)
preciso	to need
antes	before (at an earlier time)
senhor	a man (an adult male human)
lhe	dative of ele and ela: (to) him/her/it
podes	to be able to/ can (to have the ability to)
apenas	only/ just/ merely (no more than)
faz	to make
vocês	second-person singular personal pronoun/ formal or informal in…
ninguém	no one/ nobody (not one person)
trabalho	to work (to do a specific task)
outra	other (not the one previously referred to)
espera	to wait
saber	to know
comigo	prepositional form with com of eu: with me
vão	to go (to move to a destination)
dinheiro	money (means of exchange and measure of value)
aí	there (close to the second person (you))
podemos	to be able to/ can (to have the ability to)
pouco	little of something
essa	that (near you)
esse	that (near you)
grande	large/ great/ big (of great size or extent)
pois	so/ then (in that case)
pela	contraction of por + o/ by the/ for the/ through the
qualquer	any/ whatever (no matter what kind/ which or who)
disso	contraction of de + esse/ literally “of/from that (masculine/ near…
num	contraction of em + um/ literally “in a (masculine)”
qual	which
desculpa	excuse/ pretext (explanation designed to avoid or alleviate guilt…
dela	contraction of de + ele
hoje	today (in the current day)
toda	every/ all (all of a group)
deve	inflection of dever:
mulher	woman (adult female human)
queria	to want/ to wish/ to desire
fora	to go (to move to a destination)
filho	son (male offspring)
cá	for/ because
seja	to be (to have the given quality)/ especially a quality that is…
meus	my (belonging to/ associated with/ related to/ or in the…
nosso	our (belonging to/ associated with/ related to/ or in the…
olha	to look
vá	to go (to move to a destination)
daqui	contraction of de + aqui/ literally “from here”
sério	serious/ solemn (without humor or expression of happiness)
oh	alternative spelling of ó
nossa	our (belonging to/ associated with/ related to/ or in the…
certeza	certainty (state of being certain)
diz	to say
nome	name (word or phrase which identifies an individual person/ place/…
às	contraction of a (“to”) + o m sg (“the”)
outro	other (not the one previously referred to)
todo	every/ all (all of a group)
dar	to give
tentar	to try/ go for/ attempt
sair	to exit/ to leave (go away from a certain place or situation)/ to…
têm	to have
quanto	as (to the same extent or degree that)
pensar	to think (communicate to oneself in one’s mind)
mal	badly (in a faulty/ dysfunctional or incorrect manner)
volta	return (act of returning)
aconteceu	to happen/ to occur/ to take place
consigo	third-person singular reflexive prepositional pronoun with com…
três	three (cardinal number 3)
mundo	world (the Universe)
menos	less (in lower degree)
amigo	friend (person whose company one enjoys)
contigo	with you (singular)
embora	away/ hence (from this place)
numa	contraction of em + um/ literally “in a (masculine)”
passa	dried fruit
porquê	why
problema	problem (difficulty that has to be resolved or dealt with)
carro	cart (vehicle drawn or pushed by a person or animal)
lado	side
vezes	time/ occasion
nas	contraction of em + as/ literally “in the”: feminine plural of no
fez	to make
seus	Third-person singular possessive determiner.
novo	new
merda	shit/ faeces (excretory product evacuated from the bowels)
parte	to split (divide something/ especially in two roughly equal parts)
todas	every/ all (all of a group)
aos	contraction of a (“to”) + o m sg (“the”)
obrigada	obligatory/ mandatory (required or commanded by authority)
primeiro	first (ordinal form of um (“one”))
será	to be (to have the given quality)/ especially a quality that is…
lugar	place (a location or position)
voltar	to return/ to come back
pensei	to think (communicate to oneself in one’s mind)
algum	some/ any
achas	to find/ to encounter (to come across something that was unknown…
vem	to come (to move towards the speaker or the agent)
dentro	inside (within or into something’s interior)
família	family/ nuclear family (a father/ mother and their sons and daughters)
ali	there (far from both the speaker and the interlocutor(s))
razão	reason (the ability to think correctly)
aquele	that (far from the speaker and listener)
dias	day
fui	to go (to move to a destination)
anda	stilt (a pole with footrests used by entertainers)
querida	to want/ to wish/ to desire
sabia	to know
duas	two (cardinal number 2)
ideia	to ideate (to generate an idea)
hora	hour (period of sixty minutes)
si	initialism of Sistema Internacional: SI
polícia	police
podem	to be able to/ can (to have the ability to)
forma	form/ shape (the visible structure of a thing)
entre	to enter/ to go into
caso	if (introduces a condition)
gosto	to like
atrás	behind (at the back)
homens	male (human of masculine gender)
devia	first/third-person singular imperfect indicative of dever
aquilo	that/ that thing (demonstrative)
amor	love
pessoa	person (an individual being/ especially a human)
ok	OK (indicates acknowledgement or acceptance)
podia	to be able to/ can (to have the ability to)
uns	a/ an
desde	since
somos	to be (to have the given quality)/ especially a quality that is…
cabeça	head (part of the body)
horas	hour (period of sixty minutes)
deles	contraction of de + ele
fica	inflection of ficar:
ajudar	to help/ aid/ to assist
tarde	late (near the end of a period of time)
momento	moment (very brief period of time)
tal	such
tenha	to have
pronto	ready/ finished
fiz	to make
foram	to go (to move to a destination)
ia	AI (artificial intelligence)
cidade	city/ town
amigos	friend (person whose company one enjoys)
encontrar	to meet
frente	front (facing side)
sido	to be (to have the given quality)/ especially a quality that is…
passar	to pass/ to pass by (to move past)
deixar	to leave/ to exit (to go out of or away from a place)
vi	first-person singular preterite indicative of ver
nenhum	no/ none
gente	people
durante	during (for all of a given time interval)
seria	to be (to have the given quality)/ especially a quality that is…
outros	other (not the one previously referred to)
entrar	to enter/ to go into
chegar	to arrive (at)/ to reach (to conclude moving to a destination)
nova	news
trabalhar	to work (to do a specific task)
quase	almost (very close to)
desculpe	inflection of desculpar:
amanhã	tomorrow (in the day after today)
tanto	so much (to a large or excessive degree)
fosse	to go (to move to a destination)
história	history
irmão	brother (male sibling)
cima	top/ summit
contra	against
morrer	to die (to stop living)
maneira	manner/ way (particular method of doing something)
suas	Third-person singular possessive determiner.
enquanto	as/ while (at the same time as)
alguns	some/ any
ajuda	to help/ aid/ to assist
precisa	to need
morto	to kill (to cause to die)
primeira	first (ordinal form of um (“one”))
porta	door
minhas	my (belonging to/ associated with/ related to/ or in the…
medo	fear (emotion caused by actual or perceived danger or threat)
morte	death (cessation of life)
aquela	feminine singular of aquele
óptimo	pre-reform spelling (used until 1990) of ótimo/ still used where…
caminho	to walk (travel a distance by walking)
